#code	solo	shift	control	name
0x86				KEYPAD_EQUAL_SIGN
0x87				RO
0x88				KATAKANAHIRAGANA
0x89				YEN
0x8a				HENKAN
0x8b				MUHENKAN
0x8c				KEYPAD_JPCOMMA
0x8d				INTERNATIONAL7
0x8e				INTERNATIONAL8
0x8f				INTERNATIONAL9
0x90				HANGEUL
0x91				HANJA
0x92				KATAKANA
0x93				HIRAGANA
0x94				ZENKAKUHANKAKU
0x95				LANG6
0x96				LANG7
0x97				LANG8
0x98				LANG9
0x99				ALTERNATE_ERASE
0x9a				SYSREQ/ATTENTION
0x9b				CANCEL
0x9c				CLEAR
0x9d				PRIOR
0x9e				RETURN
0x9f				SEPARATOR
0xa0				OUT
0xa1				OPER
0xa2				CLEAR/AGAIN
0xa3				CRSEL/PROPS
0xa4				EXSEL
0xb0				KEYPAD_00
0xb1				KEYPAD_000
0xb2				THOUSANDS_SEPARATOR
0xb3				DECIMAL_SEPARATOR
0xb4				CURRENCY_UNIT
0xb5				CURRENCY_SUB-UNIT
0xb6				KEYPAD_LEFTPAREN
0xb7				KEYPAD_RIGHTPAREN
0xb8				KEYPAD_{
0xb9				KEYPAD_}
0xba				KEYPAD_TAB
0xbb				KEYPAD_BACKSPACE
0xbc				KEYPAD_A
0xbd				KEYPAD_B
0xbe				KEYPAD_C
0xbf				KEYPAD_D
0xc0				KEYPAD_E
0xc1				KEYPAD_F
0xc2				KEYPAD_XOR
0xc3				KEYPAD_^
0xc4				KEYPAD_%
0xc5				KEYPAD_<
0xc6				KEYPAD_>
0xc7				KEYPAD_&
0xc8				KEYPAD_&&
0xc9				KEYPAD_|
0xca				KEYPAD_||
0xcb				KEYPAD_:
0xcc				KEYPAD_#
0xcd				KEYPAD_SPACE
0xce				KEYPAD_@
0xcf				KEYPAD_!
0xd0				KEYPAD_MEMORY_STORE
0xd1				KEYPAD_MEMORY_RECALL
0xd2				KEYPAD_MEMORY_CLEAR
0xd3				KEYPAD_MEMORY_ADD
0xd4				KEYPAD_MEMORY_SUBTRACT
0xd5				KEYPAD_MEMORY_MULTIPLY
0xd6				KEYPAD_MEMORY_DIVIDE
0xd7				KEYPAD_+/-
0xd8				KEYPAD_CLEAR
0xd9				KEYPAD_CLEAR_ENTRY
0xda				KEYPAD_BINARY
0xdb				KEYPAD_OCTAL
0xdc				KEYPAD_DECIMAL
0xdd				KEYPAD_HEXADECIMAL
0xe0				LEFTCTRL
0xe1				LEFTSHIFT
0xe2				LEFTALT
0xe3				LEFTMETA
0xe4				RIGHTCTRL
0xe5				RIGHTSHIFT
0xe6				RIGHTALT
0xe7				RIGHTMETA
0xe8				MEDIA_PLAYPAUSE
0xe9				MEDIA_STOPCD
0xea				MEDIA_PREVIOUSSONG
0xeb				MEDIA_NEXTSONG
0xec				MEDIA_EJECTCD
0xed				MEDIA_VOLUMEUP
0xee				MEDIA_VOLUMEDOWN
0xef				MEDIA_MUTE
0xf0				MEDIA_WWW
0xf1				MEDIA_BACK
0xf2				MEDIA_FORWARD
0xf3				MEDIA_STOP
0xf4				MEDIA_FIND
0xf5				MEDIA_SCROLLUP
0xf6				MEDIA_SCROLLDOWN
0xf7				MEDIA_EDIT
0xf8				MEDIA_SLEEP
0xf9				MEDIA_COFFEE
0xfa				MEDIA_REFRESH
0xfb				MEDIA_CALC
